Customer Behavior,Market Trends,Seasonal Fluctuations,Product Availability,Customer Demographics,Website Traffic,Engagement Rate,Discount Rate,Advertising Spend,Social Media Engagement,Returning Customers Rate,New Customers Count,Product Categories,Average Order Value,Shipping Speed,Customer Satisfaction Score,Economic Indicator,Sales Forecast
45.98308858,0.8,High,57,60+,206,0.052927393,0.424162873,970.8896808,200,0.70627401,20,Electronics,59.7043601,3.449355766,3,1,481
47.04757131,0.8,Medium,59,46-60,201,0.050078192,0.12466291,479.9315094,318,0.719343031,77,Electronics,51.61152674,3.465660184,4,1.1,457
46.82818773,0.8,High,84,60+,192,0.077734396,0.491064153,772.73585,181,0.65599437,97,Electronics,77.35869714,3.420236761,5,0.9,466
49.79182966,1,Low,94,60+,194,0.075843414,0.193184802,1014.383126,914,0.734719804,13,Fashion,50.8714868,3.889660831,4,1.1,459
32.14063454,0.8,Medium,74,36-45,234,0.083435951,0.251029901,460.356841,873,0.333590005,25,Home,37.14121168,2.817075281,5,0.9,214
44.68204577,1,Medium,33,60+,203,0.059294777,0.305052088,1236.822715,220,0.439326812,18,Home,122.2511599,4.152850109,5,1.1,281
46.66615274,1,Low,51,18-25,185,0.07261044,0.348696947,1502.784031,201,0.391677349,21,Beauty,166.7843382,2.415330662,3,0.9,175
41.47972525,0.8,Low,22,36-45,204,0.044383468,0.112040277,1254.85767,460,0.365240326,1,Sports,149.6326252,3.347597024,5,1,249
50.00204617,1,High,61,26-35,187,0.046319175,0.108232032,1202.469569,865,0.101733885,24,Home,161.8510853,2.08102349,3,1.1,136
54.74400995,1,High,40,46-60,213,0.093605775,0.323707769,1353.983186,624,0.356262737,60,Home,65.00022071,3.319980476,1,1,454
53.60855937,1,Medium,97,26-35,203,0.086954166,0.404468311,1469.023223,875,0.42282084,28,Sports,128.354212,2.849571588,3,1,90
47.75695292,0.8,Medium,45,46-60,193,0.017546661,0.12445635,1215.399785,382,0.452555443,43,Electronics,174.7456882,2.737767128,3,1.1,316
52.40115318,1,Low,14,18-25,213,0.054180634,0.392929634,637.4322147,320,0.648283889,67,Beauty,38.41109653,2.161997294,4,0.9,274
49.40733459,1,Low,55,26-35,197,0.075459928,0.439518472,828.6483799,445,0.669894962,50,Fashion,66.32269967,2.722764289,2,1,216
45.72983964,1,Low,83,26-35,199,0.013513038,0.21663316,722.8897089,730,0.795069977,9,Sports,107.9040087,2.259803443,5,1.1,181
